ID	title	author	date	folio	notes	work_code	work_title	osa
709	Histoire générale des dogmes et opinions philosophiques	"Diderot, Denis;"		27r	"Date ambiguous (1715-). Published in London, unknown publisher, 1769."	spbk0001156	Histoire générale des dogmes et opinions philosophiques	1
710	Histoire du parlement de Paris	"Voltaire, François Marie Arouet;"		27r	"Date ambiguous (1715-). Published in Amsterdam, Jean Jacques Du Fay, 1769."	zspbk0013065	Histoire du parlement de Paris	1
710	Histoire du parlement de Paris	"Voltaire, François Marie Arouet;"		27r	"Date ambiguous (1715-). Published in Amsterdam, Jean Jacques Du Fay, 1769."	spbk0001148	Histoire du Parlement de Paris	0.966666667
711	Homme (l') au latin	"Siret, Pierre-Louis;"		27r	"Date ambiguous (1715-). Published in London: John Nourse, 1769."	spbk0002564	Homme (l') au latin	1
714	Homme (l') aux quarante ecus	"Voltaire, François Marie Arouet;"		27r	"Date ambiguous (1715-). Published in Geneva, publisher not identified, 1768."	spbk0001204	Homme (l') aux quarante ecus	1
722	Histoire philosophique et politique des e?tablissements	"Raynal, Guillaume-Thomas-François"		27r	"Date ambiguous (1715-). Source data entitled: 'Histoire politique du commerce des deux Indes', published in Amsterdam, publisher not identified, 1720. At least two other editions identified in Amsterdam: 1733 and 1770."	spbk0002756	[Histoire philosophique et politique des établissements et du commerce des Européens dans les deux Indes]	0.94
761	Instruction d'un pere à sa fille	"Dupuy La Chapelle, N.;"		28v	"Date ambiguous (1738-1739). First published in Paris: N. Le Clerc, 1707. Several editions until 1789."	spbk0004963	Instruction d'un pere à sa fille	1
761	Instruction d'un pere à sa fille	"Dupuy La Chapelle, N.;"		28v	"Date ambiguous (1738-1739). First published in Paris: N. Le Clerc, 1707. Several editions until 1789."	spbk0004221	Instruction d'un père a son fils	0.8125
763	Instructions sur les dispositions que l'on doit apporter aux sacrements de penitence et d'eucharistie	"Treuve?, Simon Michel"	1739-00-00	28v	"Work and author not identified. First published in 1676. Thereafter several publications, notably: Paris Guillaume Desprez, 1734. OCLC Number: 433872899."	spbk0010240	Instruction sur les dispositions qu'on doit apporter aux sacremens de Pénitence et d'eucharistie	0.84
787	"Traite? de l'infini cre?e?, avec l'explication de la possibilite? de la transsubstantiation"	"Malebranche, Nicolas de; Boulainvilliers, Henri de"		29r	"Date ambiguous (1750-). Source data entitled: 'Infini (de l') cree par le P. Mallebranche'. Published in Amsterdam : M. M. Rey, 1769. OCLC Number: 490502005."	spbk00014943	"Traité de l'infini crée, avec l'explication de la possibilité de la transsubstantiation. Traité de la confession et de la communion par P. Malebranche"	0.84
791	Instructions adressées par Sa Majesté l'impératrice de toutes les Russies	"Catherine II, empress of Russia"		29r	"Date ambiguous (1750-). Source data entitled: 'Instruction donnee par Catherine II imp. de Russie'. First published in Lausanne: Franc?ois Grasset et Cie, 1749, then 1769."	spbk0001249	Instructions adressées par Sa Majesté l'impératrice de toutes les Russies	1
796	Joujou (le) des demoiselles	"Saint-Just, Simon-Pierre Mérard [de]; Jouffreau de Lagerie [abbé];"		29r	"Date ambiguous (1750-). First published in Paris in 1750 (?), then in London: Chez Jean-Nicaise Le Plat, 1753, 1757 and 1758."	spbk0001298	Joujou (le) des demoiselles	1
801	"Jean Hennuyer, évêque de Lisieux"	"Mercier, Louis-Sébastien;"		29v	"Date ambiguous (1750-). Source data entitled: 'Jean Hennuyer, évêque de Lisieux, drame'. Several editions: Londres [i.e. Paris, Edme-Jean Le Jay], 1772;  Lisieux, Le chapitre, 1773; Paris: Chez Ruault, libraire, 1775."	spbk0001291	"Jean Hennuyer, évêque de Lisieux"	1
804	Lettres nouvelles			30r	Date ambiguous (1700-1704). Source data entitled: 'Lettres nouvelles par M. de Grimarais'. Work and author not identified.	spbk0010189	Heures nouvelles	0.823529412
820	Lettres de feu m. Nicole	"Nicole, Pierre"	1718-00-00	30r	"Source data entitled: 'lettres de Nicole'.Published in Lille: Jean Baptiste Brovellio, 1718. Earlier editions identified: Liège, chez Jean-Franc?ois Bronkart, 1702 and 1706, and Paris : Chez Jean Musier, 1702."	zspbk0011047	Lettres de feu M. Nicole	0.958333333
857	Lettre a Monseigneur l'archeveque de Lyon	"Prost de Rover, Antoine-Francois; Caradeuc de la Chalotais, Louis-Rene, de"		31r	"Date ambiguous (1748-). Published in Avignon, 1763. OCLC Number: 943062847."	zspbk0013077	Lettres de Monseigneur l'archevêque de ***	0.80952381
861	Lettres critiques d'un voyageur Anglais sur l'article Geneve du dictionaire encyclopedique			31r	"Date ambiguous (1748-). Source data entitled: 'Lettre critique d'un voyageur anglois sur l'article Geneve dans l'encyclopedie'. Published in Utrecht: J. C. Ten Bosch, 1759, then at least two editions identified, Utrecht, 1761 and Copenhaguen, 1766. Author not identified. https://books.google.com.au/books?id=seNXAAAAcAAJ"	zspbk0013160	Lettres critiques d'un voyageur anglois sur l'article Genève du Dictionaire encyclopédique; & sur la lettre de Mr. d'Alembert à Mr. Rousseau	0.96
869	Leçons de droit de la nature et des gens	"Félice, Fortunato Bartholomeo [de];"		31v	"Date ambiguous (1748-). Published in Yverdon and Lyon: Chez Jean-Marie Bruyset, 1769."	spbk0002750	Leçons de droit de la nature et des gens	1
876	Lettres philosophiques	"Voltaire, Francois-Marie Arouet"		31v	"Date ambiguous (1748-). Source data entitled: 'Lettres philosophiques de Voltaire'. First published in Amsterdam:  E. Lucas, 1734."	zspbk0013786	Lettres philosophiques	1
876	Lettres philosophiques	"Voltaire, Francois-Marie Arouet"		31v	"Date ambiguous (1748-). Source data entitled: 'Lettres philosophiques de Voltaire'. First published in Amsterdam:  E. Lucas, 1734."	spbk0001358	Lettre philosophique	0.909090909
876	Lettres philosophiques	"Voltaire, Francois-Marie Arouet"		31v	"Date ambiguous (1748-). Source data entitled: 'Lettres philosophiques de Voltaire'. First published in Amsterdam:  E. Lucas, 1734."	spbk00014811	Oeuvres philosophiques	0.863636364
876	Lettres philosophiques	"Voltaire, Francois-Marie Arouet"		31v	"Date ambiguous (1748-). Source data entitled: 'Lettres philosophiques de Voltaire'. First published in Amsterdam:  E. Lucas, 1734."	spbk0001457	Leçons philosophiques	0.818181818
876	Lettres philosophiques	"Voltaire, Francois-Marie Arouet"		31v	"Date ambiguous (1748-). Source data entitled: 'Lettres philosophiques de Voltaire'. First published in Amsterdam:  E. Lucas, 1734."	spbk0001900	Pensées philosophiques	0.818181818
877	Lettres ecrites de la montagne	"Rousseau, Jean-Jacques"		31v	"Date ambiguous (1748-). Source data entitled: 'Lettres de la montagne par J. J. Rousseau'. First published in Amsterdam: Marc Michel Rey, 1764."	spbk0001450	Lettres écrites de la montagne	0.966666667
878	De la nature	"Robinet, Jean-Baptiste-Rene?"		31v	"Date ambiguous (1748-). Source data entitled: 'La (de) nature par Robinet'. First published in Amsterdam, chez E. Van Harrevelt, 1761."	spbk00015052	De la nature	1
879	Lettres allemandes traduites en francois			31v	"Date ambiguous (1748-). No author identified. Date of publication unknown, published in La Haye : Par la Compagnie. OCLC Number: 460269850."	spbk00014923	"Lettres allemandes, traduites en français"	0.926829268
880	Lettres cabalistiques	"Argens, Jean-Baptiste de Boyer [marquis d'];"		31v	"Date ambiguous (1748-). First published in La Haye: Pierre Paupie, 1737-38. Several publications thereafter."	spbk0001368	Lettres cabalistiques	1
881	Lettres juives	"Argens, Jean-Baptiste de Boyer [marquis d'];"		31v	"Date ambiguous (1748-). First published in La Haye, 1735-1737 also in Lausanne: chez Marc Michel Bousquet, 1738. Several publications thereafter, notably: in La Haye: Paupie, 1777."	spbk0001426	Lettres juives	1
882	Lettres chinoises	"Argens, Jean-Baptiste de Boyer [marquis d'];"		31v	Date ambiguous (1748-). First published in La Haye: Paupie 1739; several publications thereafter.	spbk0001370	Lettres chinoises	1
882	Lettres chinoises	"Argens, Jean-Baptiste de Boyer [marquis d'];"		31v	Date ambiguous (1748-). First published in La Haye: Paupie 1739; several publications thereafter.	zspbk0013118	Lettres illinoises	0.833333333
895	"Lettres provinciales: ou Examen impartial de l'origine, de la constitution, et des révolutions de la monarchie françoise"	"Bouquet, Pierre"		32r	"Date ambiguous (1748-). Source data entitled: 'Lettres provinciales par l'abbe Bouquet'. Published in La Haye: Le Neutre; Paris: Merlin, 1772."	zspbk0013198	"Lettres provinciales: ou Examen impartial de l'origine, de la constitution, et des révolutions de la monarchie françoise"	1
895	"Lettres provinciales: ou Examen impartial de l'origine, de la constitution, et des révolutions de la monarchie françoise"	"Bouquet, Pierre"		32r	"Date ambiguous (1748-). Source data entitled: 'Lettres provinciales par l'abbe Bouquet'. Published in La Haye: Le Neutre; Paris: Merlin, 1772."	zspbk0013967	"Lettres provinciales, ou Examen impartial de l'origine, de la constitution, et des révolutions de la monarchie franc?oise"	0.98
922	Memoires pour servir a l'histoire de la Grande Bretagne			33v	"Date ambiguous (1718-1729). First published in London: Ward, 1725. Translated from the English by  Gilbert Burnet. Author not identified. Also published in La  Haye: Neaulme, 1735."	zspbk0011814	Mémoires pour servir a l'histoire de Brandebourg	0.82
930	Memoires pour servir a l'histoire du Languedoc	"Lamoignon de Basville, Nicolas"		33v	"Date ambiguous (1718-1729). Published in Amsterdam: Chez P. Boyer, 1734 and J. Ryckhoff, 1736."	zspbk0010872	Memoires pour servir à l'histoire de la vertu	0.804347826
931	Mémoires du duc de Villars	"Villars, Claude Louis Hector [de]; Plantavit de La Pause, Guillaume;"		33v	"Date ambiguous (1718-1729). Published in La Haye: chez Pierre Gosse, 1735-1736; London: J. Nourse, 1739. Several editions thereafter."	spbk0002929	Mémoires du duc de Villars	1
932	Mémoires pour servir a l'histoire du XVIIIeme siecle	"Lamberty, Guillaume, de"		33v	"Date ambiguous (1718-1729). Published in La Haye: H. Scheurleer; Amsterdam: P. Mortier, 1724-1740. OCLC Number:492627099."	zspbk0012247	Memoires pour servir a l'histoire du XVIIIeme siecle	0.98
932	Mémoires pour servir a l'histoire du XVIIIeme siecle	"Lamberty, Guillaume, de"		33v	"Date ambiguous (1718-1729). Published in La Haye: H. Scheurleer; Amsterdam: P. Mortier, 1724-1740. OCLC Number:492627099."	zspbk0013318	Memoires pour servir à l'histoire du XVIII siècle	0.84
936	"Magasin des enfants, ou, Dialogues entre une sage gouvernante et plusieurs de ses e?le?ves de la premie?re distinction"	"Le prince de Beaumont, Jeanne-Marie"		33v	"Date ambiguous (1718-1729). Source data entitled: 'Magasin (le)'. At least three editions identified: London: J. Haberkorn, 1756; Lyon: Chez Jean-Baptiste Reguilliat, 1758;  and London: Chez J. Nourse, 1760."	spbk0001497	Magasin des enfants ou Dialogues entre une sage gouvernante et plusiers de ses élèves	0.92
937	"Me?moires pour servir a? l'histoire de la Fe?te des Fous, qui se faisoit autrefois dans plusieurs e?glises"	"Lucotte Du Tilliot, Jean-Bénigne"		33v	"Date ambiguous (1718-1729). Source data entitled: 'Memoires pour servir a l'histoire de la fete des fous'.  Published in Lausanne, Gene?ve: Marc-Michel Bousquet et compagnie, 1741 and 1751. https://books.google.com.au/books?id=lcxhAAAAcAAJ"	zspbk0014160	Me?moires pour servir a l'histoire de la Faculte? de medecine de Montpellier	0.84
937	"Me?moires pour servir a? l'histoire de la Fe?te des Fous, qui se faisoit autrefois dans plusieurs e?glises"	"Lucotte Du Tilliot, Jean-Bénigne"		33v	"Date ambiguous (1718-1729). Source data entitled: 'Memoires pour servir a l'histoire de la fete des fous'.  Published in Lausanne, Gene?ve: Marc-Michel Bousquet et compagnie, 1741 and 1751. https://books.google.com.au/books?id=lcxhAAAAcAAJ"	zspbk0010872	Memoires pour servir à l'histoire de la vertu	0.82
940	"Me?moires de Maximilien-Emanuel, duc de Wirtemberg, colonel d'un re?giment de dragons au service de Sue?de"	F. P.		33v	"Date ambiguous (1718-1729). Source data entitled: 'Memoires de Wirtemberg'. Author's full name not identified. Published in Amsterdam and Leipzig: Arkstee et Merkus, 1740. OCLC Number: 760960861."	zspbk0011075	Mémoires de Maximilien Emanuel Duc de Wirtemberg	0.9
941	"Matanasiana: ou, Mémoires littéraires, historiques et critiques du docteur Matanasianus"	"Saint-Hyacinthe, The?miseul, de"		34r	"Date ambiguous (1718-1729). Source data entitled: 'Matanasiana'. Published in La Haye:  la veuve de Charles Le Vier, 1740. https://books.google.com.au/books?id=4d4TAAAAQAAJ"	zspbk0012896	"Matanasiana: ou, Mémoires littéraires, historiques et critiques du docteur Matanasianus"	1
996	Maximes et avis propres pour conduire un pêcheur à une véritable conversion	"Boyer, François"		35r	"Date ambiguous (1750-). Source data entitled: 'Maximes et avis pour conduire un pecheur'. Published in Paris : F. Babuty, 1727 and 1734."	zspbk0011425	Maximes et avis propres pour conduire un pêcheur à une véritable conversion	1
1009	Manuel des philosophes			35v	Date ambiguous (1750-). Work and author not identified.	spbk0001528	Manuel du Philosophe	0.818181818
1018	Morale (la) des anciens philosophes			35v	"Date ambiguous (1750-). Published in Berne: Socie?te? Typographique, 1770.  Author identified as 'by D'****, (M. le marquis)'. OCLC Number: 492828800."	spbk0003677	Morale des anciens philosophes	0.857142857
1019	Mélanges philosophiques	"Formey, Jean Henri Samuel;"		35v	"Date ambiguous (1750-). Published in Leyde: Luzac, 1754."	spbk0004995	Mélanges philosophiques	1
1019	Mélanges philosophiques	"Formey, Jean Henri Samuel;"		35v	"Date ambiguous (1750-). Published in Leyde: Luzac, 1754."	zspbk0011379	Mélanges philosophiques	1
1019	Mélanges philosophiques	"Formey, Jean Henri Samuel;"		35v	"Date ambiguous (1750-). Published in Leyde: Luzac, 1754."	zspbk0013684	Songes philosophiques	0.826086957
1019	Mélanges philosophiques	"Formey, Jean Henri Samuel;"		35v	"Date ambiguous (1750-). Published in Leyde: Luzac, 1754."	zspbk0013829	Songes philosophiques	0.826086957
1020	Moyen (le) de parvenir	"Béroalde de Verville, François;"		35v	"Date ambiguous (1750-). Source data entitled: 'Moyen de parvenir'. First edition identified in 1650, then Paris: 1747; 1750; 1754; 1757, publisher not identified."	spbk0001608	Moyen (le) de parvenir	1
1024	"Memoires secrets de la république des lettres, ou le Théâtre de la vérité <zspbk0012858>"	"Boyer Argens, Jean-Baptiste, de"		35v	"Date ambiguous (1750-). Source data entitled: 'Memoires secrets de la république des lettres'. First edition identified: Amsterdam: Desbordes, 1740, several editions thereafter. Possible matching edition:  Amsterdam : Neaulme, 1759."	zspbk0012858	"Memoires secrets de la république des lettres, ou le Théâtre de la vérité"	1
1026	Memoires secrets pour servir a l'histoire de Perse	"Pecquet, Antoine; Resse?quier, chevalier de; Clement-Ignace"		35v	"Date ambiguous (1750-). Source data entitled: 'Memoires pour servir a l'histoire de Perse'. Published in Berlin: aux de?pens de la Compagnie, 1759; and in Amsterdam, publisher not identified, 1763; 1765."	spbk0001683	Mémoires secrets pour servir à l'histoire de Perse	0.96
1026	Memoires secrets pour servir a l'histoire de Perse	"Pecquet, Antoine; Resse?quier, chevalier de; Clement-Ignace"		35v	"Date ambiguous (1750-). Source data entitled: 'Memoires pour servir a l'histoire de Perse'. Published in Berlin: aux de?pens de la Compagnie, 1759; and in Amsterdam, publisher not identified, 1763; 1765."	spbk0001684	Mémoires secrets pour servir à l'histoire de la république des lettres en France	0.86
1040	Nouveau (le) testament		1709-00-00	37r	"Source data entitled: 'Nouveau (le) testament traduit par M. de Martignac'. This particular edition has not been identified. Etienne Algay de Martignac (1620-1698) was a latin translator, but source title has not been identified as translated by him."	spbk0001718	Nouveau (le) Testament	0.954545455
1096	Oeuvres melees	"Lagrange-Chancel, François-Joseph de"		39r	"Date ambiguous (1718-). Source data entitled: 'Oeuvres melees de M. de La Grange'. Title mentioned in 'Catalogue de la bibliothèque de feu M. Arthur Dinaux ', Paris: Bachelin Deflorenne, 1864, p. 269. Published in La Haye, 1724, publisher not identified. François-Joseph de Lagrange-Chancel, (1677-1758) published 'Les Philippiques' against the Regent and got exiled to Holland. This collection of poems was published after in his exile."	spbk0001844	Oeuvres mêlées	0.857142857
1123	Oeuvres de Grecourt	"Gre?court, Jean-Baptiste Willart de"		39v	"Date ambiguous (1718-). First edition identified: Amsterdam: P. Mortier, 1746. Then  Luxembourg, publisher not identified, 1751 and 1754; Amsterdam: Arkste?e"	spbk0001786	Oeuvres [de Grécourt]	0.857142857
1128	Observations historiques et critiques sur les Commentaires de Folard et sur la cavalerie <spbk0004045>	"Brezé, Gioacchino Bonaventura Argentero;"		39v	"Date ambiguous (1718-). Published in Turin: Fre?res Reycends, 1772."	spbk0004045	Observations historiques et critiques sur les commentaires de Folard et sur la cavalerie	0.98
1128	Observations historiques et critiques sur les Commentaires de Folard et sur la cavalerie <spbk0004045>	"Brezé, Gioacchino Bonaventura Argentero;"		39v	"Date ambiguous (1718-). Published in Turin: Fre?res Reycends, 1772."	spbk00014785	Observations historiques et critiques sur le droit publique de la principauté de la Catalogne	0.9
1162	Pensees secretes sur la religion et sur la vie chretienne	"Beveridge, William"		42v	Date ambiguous (1719-1733). Source data entitled: 'Pensees secrettes sur la religion'. First edition identified published in Amsterdam: Wetsteins	zspbk0013469	Pensées secrettes sur la religion et sur la vie chrétienne	0.94
1214	Pieces detachees relatives au clerge seculier et regulier	"Chastenet de Puysegur, Jacques Francois Maxime, de"		43v	"Date ambiguous (1750-). First edition identified : Amsterdam: Marc Michel Rey, 1771."	spbk0001927	"Pièces détachées, relatives au clergé séculier et régulier"	0.86
1223	Philosophie (la) du bon sens	"Boyer d' Argens, Jean-Baptiste, de"		44r	"Date ambiguous (1750-). Source data entitled: 'Philosophie (la) du bon sens par le Mis d'Argens'. First edition identified: London: Aux De?pens de la Compagnie, 1737. Several editions thereafter, including:  Berlin: Chez Haude et Spener, 1763 and La Haye: P. Paupie, 1768."	spbk0001917	Philosophie (la) du bon-sens	0.964285714
1231	Preuve independante de tout autre de la verite de la religion chretienne	Littleton		44r	"Date ambiguous (1750-). Source data entitled: 'Preuve independante de tout autre de la verite de la religion chretienne par Littleton'. Published in Lausanne, 1758. Publisher not identified. Author's first name not found. https://books.google.com.au/books?id=KacTAAAAQAAJ"	spbk0003097	"Preuve indépendante de toute autre, de la vérité de la religion chrétienne"	0.86
1272	Resolution de plusieurs cas de conscience	"Sainte Beuve, Jacques de"	1709-00-00	47v	"First edition identified: Paris: G. Desprez, 1689-1704; then 1705 and 1715. Other contributor: Jerome de Sainte Beuve (brother of the author).  OCLC : 14281379."	zspbk0013135	Resolutions de plusieurs cas de conscience touchant la morale et la discipline de l'église	0.82
1285	Recherches sur la nature du feu de l'Enfer et du lieu où il est situé <zspbk0012902>	"Swinden, Tobias"	1729-00-00	47v	"Published in Amsterdam: Chez les Wetsteins, 1728-9. OCLC: 33306892."	zspbk0012902	Recherches sur la nature du feu de l'Enfer et du lieu où il est situé	1
1286	Reflexions sur les grands hommes qui sont morts en plaisantant. Augmente?e d'epitaphes	"Boureau-Deslandes, Andre? Franc?ois"		47v	"Date ambiguous (1727-1729). Source data entitled: 'Reflexion sur les grands hommes qui sont morts en plaisantant'. First edition identified was published in Amsterdam: Westeing, 1732; then several editions until 1776. OCLC Number: 248060063."	spbk0002074	Réflexions sur les grands hommes qui sont morts en plaisantant	0.98
1310	Relation du voyage mysterieux de l'isle de la vertu a Oronte	Herissant	1740-00-00	48v	"Source data entitled: 'Relation du voyage mysterieux de l'isle de la vertu'. First edition identified: Mons, chez Gaspard Migeot, 1677. Several publications until 1760, including  Mons: Me?geot, 1739 and 1740. Author identity not clear: Jean Thomas He?rissant Des Carrie?res; Louis The?odore He?rissant. OCLC Number: 868971886."	zspbk0010954	Relation du Voyage Misterieux de l'Isle de la Vertu nouvelle edition	0.9
1371	Science (la) du gouvernement	"Re?al de Curban, Gaspard de"		50v	Date ambiguous (1746-). Published in Amsterdam: Arkste?e	zspbk0013134	Science [la] du gouvernement	0.928571429
1379	Supplementum ad varias collectiones operum	"Bernard van Espen, Zeger"		51r	"Date ambiguous (1746-). Source data entitled: 'Supplementum ad varias collectiones operum zegeri Bernardi Wanespen'. First edition identified: Brussels: Vleminkx, Flon; and Paris: Herissant, 1768. Last edition identified:  Brussels, 1778, publisher not identified. https://books.google.com.au/books?id=zZxmAAAAcAAJ"	spbk00014784	Supplementum ad varias collectiones operum	1
1379	Supplementum ad varias collectiones operum	"Bernard van Espen, Zeger"		51r	"Date ambiguous (1746-). Source data entitled: 'Supplementum ad varias collectiones operum zegeri Bernardi Wanespen'. First edition identified: Brussels: Vleminkx, Flon; and Paris: Herissant, 1768. Last edition identified:  Brussels, 1778, publisher not identified. https://books.google.com.au/books?id=zZxmAAAAcAAJ"	spbk00014985	Supplementum ad varias collectiones operum…	0.976744186
1405	"Traite? de la connaissance des droits et des domaines du roi, et de ceux des seigneurs particuliers qui rele?vent me?diatement ou imme?diatement de sa Majeste?"	Berthelot du Ferrier		52r	"Date ambiguous (1702-1703). Source data entitled: 'Traite de la connoissance des droits du Roy et de ceux des seigneurs particuliers'. First edition identified: Paris: Collombat, 1719; then Veuve Saugrain et P. Prault, 1725. Author's first name not found. https://books.google.com.au/books?id=BZrr7Ojvz8cC"	zspbk0013824	Traité de la connoissance des droits et des domaines du Roy et de ceux des seigneurs particuliers qui relèvent médiatement ou immédiatement de Sa Majesté	0.92
1456	"Traité de la confiance en la miséricorde de dieu, par M. l'évêque de Soissons <spbk0010518>"	"Languet de La Villeneuve de Gergy, Jean Joseph;"	1744-00-00	53v	"Source data entitled: 'Traité de la confiance en la miséricorde de dieu'. First edition identified: Paris : Veuve R. Mazieres, 1725.  OCLC: 913696551."	spbk0010518	"Traité de la confiance en la miséricorde de dieu, par M. l'évêque de Soissons"	1
1459	Traite de la nature		1746-00-00	53v	"Possible title match: 'Traite de la nature et de la grace', by Nicolas Malebranche, published first in 1684; 'Traité de la nature', by Guillaume Cokburn, published in Freres Osmont, 1730, place of publication unknown; 'Traite? de la nature', anonymous science manuscript, ca. 1750, OCLC: 754864557."	zspbk0013823	Traite de la jauge	0.842105263
1472	Traité de la vérole et de toutes les maladies vénériennes	Coste		53v	"Date ambiguous (1749-). Source data entitled: 'Traite de la Verole'. Published in Berlin: chez George Jacques Decker, 1769. Author identified as 'Coste, junior chirurgien des gardes du roi de Prusse'. First name found. OCLC: 14303652."	zspbk0014288	Traité de la vérole et de toutes les maladies vénériennes	1
1474	"Le temple du bonheur, ou Recueil des plus excellents traite?s sur le bonheur"			53v	"Date ambiguous (1749-). Source data entitled: 'Temple (le) du bonheur'. First edition identified: Bouillon: Societe Typographique, 1769. OCLC: 611751122."	zspbk0013391	"Le temple du bonheur, ou Recueil des plus excellens traite?s sur le bonheur"	1
1526	"Voyages du Sieur A. de La Motraye en Europe, Asie et Afrique"	"La Mottraye, Aubry de"	1728-00-00	55v	"Source data entitled: 'Voyage de la Motraye'. First published in La Haye: T. Jonson and J. Van Duren, 1727. OCLC Number: 461348273. Two spellings for author's name: 'La Motraye' and 'La Mottraye'."	zspbk0012098	"Voyages du Sr A. de La Motroye en Europe, Asie, et Afrique"	0.86
1551	"Les vrais Quakers, ou les exhortations, harangues, et prédictions des vrais serviteurs du Seigneur Dieu"	"Colmont de Vaugrenant, Henri Camille"		56r	"Date ambiguous (1748-). Source data entitled: 'Vrais (les) Quakers'. Published in London, 1770. Also in Paris: chez L. Prault and Bruxelles: chez A. D'Ours, 1771. Other contributors possible."	spbk00015038	"Les vrais Quakers, ou Les exhortations, harangues et prédictions des vrais serviteurs du Seigneur Dieu"	0.96
